dataset,sample,timepoint,mean_radius,median_radius,max_radius,min_radius,sd_radius,p25_radius,p75_radius,p90_radius,p95_radius,n_leader_cells,mean_leader_radius,radius_skewness,radius_kurtosis,dispersion_index,mean_nn_dist,median_nn_dist,sd_nn_dist,mean_volume,sd_volume,mean_compactness,sd_compactness,mean_extent,sd_extent,cell_count,invasion_volume,cell_density
train,1,8,186.28911922579897,193.1719626430593,278.46518844960644,82.45006173153365,51.58774092942674,144.33383608677477,229.71136706956622,251.04723181529553,261.8017340056177,5.0,265.67337024994254,-0.16846423724791748,-0.9838499819973539,1.4948011435497846,27.637876680651907,25.594323721981073,14.79514861308408,568.5714285714286,537.6975605920736,3.310290941821391,1.5046696311175922,0.35935896443530313,0.1437708943016049,49.0,90448494.32653092,5.417447837561958e-07
train,1,9,179.38018083837284,177.76209064074604,271.25015933414016,70.76668789765196,54.72286501713969,129.41365662470128,226.06940754719332,246.45443104051714,254.68821858786532,5.0,258.45563580580887,-0.09151831987981182,-1.3203290187162078,1.512152335148692,28.006935133416476,22.705572772398103,17.492264355393047,611.3469387755102,527.7601866623233,3.496639522720102,1.7896569106275269,0.34777035569067066,0.1391605406058897,49.0,83598525.06077322,5.861347429799593e-07
train,1,10,186.04628828523494,192.3984403267179,305.2652603165999,83.45455891747679,54.688288676996066,137.5600271990021,228.2114197762907,254.56515016392981,264.08832424742457,6.0,269.47715058719314,0.01923019414844757,-1.1093149782508385,1.640802743931046,30.862436064866223,27.245511872705805,20.559693843592655,563.0576923076923,496.8816647484566,3.303792486721397,1.7347898759702354,0.3622940307813368,0.12894215969237235,52.0,119157329.20831399,4.3639783088031645e-07
train,1,11,182.98853184820962,175.59098778501564,266.55302356273506,69.46304685634122,52.44129178165679,144.93185685939395,227.27928074306715,244.49395122274032,252.24463645504304,6.0,254.20922642352625,-0.30530843252955064,-0.9772533015724076,1.456665184809739,29.243116905038416,27.938226272805412,12.614154590143709,605.156862745098,515.2939499954961,3.4480908556851113,2.034676401440987,0.35848941998149375,0.1464500100008677,51.0,79330364.33220565,6.428812022900996e-07
train,2,0,183.65665519789172,197.88676840472465,339.7129933229146,41.172645121152534,74.16612869199874,116.25529674737217,237.91954183900054,284.6452938205746,294.0226120301759,7.0,304.8620962406956,-0.017857529641573153,-0.9545509028997587,1.849717849630174,30.948622880774312,26.180813392553116,18.442962550731412,632.6716417910447,418.18588689936576,3.0397304735683757,1.546019799932195,0.3912099756630002,0.14260843512908813,67.0,164219635.36249512,4.0799018857949323e-07
train,2,1,183.4741067031354,196.34373196766012,348.96489232750974,30.082290889587576,74.73973889674849,125.33835945270991,241.24438580014646,267.3209463165769,301.0499257659514,7.0,303.8743344398802,-0.06740265693746009,-0.8813236834777571,1.901984419480737,29.973265429022902,25.08305889782433,18.74578044511609,619.5441176470588,425.81642158359114,3.2461994775264724,1.6159731459299291,0.36424071582976747,0.13007045515780996,68.0,178005663.39535508,3.820103175536066e-07
train,2,2,179.12302203713378,186.13362096509502,355.62503705452673,9.418946204459248,75.27565543989019,126.33744201219707,237.12749873700554,263.19480084035644,305.6093003789758,7.0,304.4789074075243,-0.06825828187088656,-0.5339337612196204,1.9853675591784206,31.322200198292915,25.081857093571557,17.829192333359174,637.4117647058823,416.03602869578344,3.513237030044006,2.1146321038790235,0.35600414315574713,0.1521516475416182,68.0,188393361.92262587,3.609469001775548e-07
train,2,3,175.50859733035608,180.58502893663206,319.52667811781754,28.816189252521802,72.87509590876377,125.55910428495679,235.4445438465409,259.3002295815003,276.05621602271714,7.0,286.0379680378587,-0.18178611834205552,-0.8891533554447979,1.8205756468805874,28.13684686483548,21.74032755934764,18.166395824739908,648.5857142857143,447.3115340437946,3.742976159401643,2.1035930456043936,0.3348165242956858,0.14646068928247774,70.0,136650109.00803864,5.122571837530122e-07
train,2,4,176.5539152548208,181.53927195075772,314.45255604451165,15.618052435862625,71.34922801815756,131.36816255068155,227.2590798828686,261.3218004820124,302.2116454628793,8.0,293.242376448758,-0.07264627854844888,-0.7635792314661995,1.781056826696034,26.521048534941166,21.596533251204,15.426983096391494,613.974358974359,482.0212307217047,3.6693084020934257,1.8753705803320253,0.33640237021799163,0.14384113972859636,78.0,130242881.82783213,5.988810974184991e-07
train,2,5,174.6121003073812,176.18429498149203,349.961870001463,19.92819236717729,71.23898765017464,117.2097270580825,230.8420607386755,257.7085084335213,278.7136897736117,9.0,287.41476447321503,-0.013148699183986779,-0.7019244035496217,2.004224617797976,26.136164519590334,22.902931851551543,15.585217086164011,555.7619047619048,446.3018757684091,3.7755682251401828,1.885561690357533,0.32278649515285374,0.13547764255443165,84.0,179535689.8521466,4.6787354686512024e-07
train,2,6,181.10998272588063,186.52423893476012,353.23609737155397,39.51687833176243,67.49395834185891,125.96327734803972,228.3025016099287,258.9598037599236,277.4112450209047,9.0,285.3085740407426,-0.1623229830279994,-0.594425544395687,1.9503955113628118,24.682591201354583,19.004543933788103,14.469699137413038,547.855421686747,440.2575502470289,3.61383329938094,1.8360465395015502,0.3381802030677674,0.1378944106851053,83.0,184622166.5494552,4.49566818282173e-07
train,2,7,182.68291176280923,192.43754427247623,358.14184525097664,23.083318036027094,77.01823846517205,120.25831152184095,246.40784938371831,265.29206938859613,292.72870705689286,9.0,303.096055688155,-0.03312402541791992,-0.7551559891746451,1.9604561904289044,24.56585897585993,21.953734025396283,14.544022103718362,525.9135802469136,472.25380351911576,3.5942362308005382,1.8096554771175544,0.328596076357915,0.12108460186065732,81.0,192421594.88790017,4.2095067368705937e-07
train,2,8,184.35641564905367,191.21178041913493,337.6695588935578,20.647183552347013,75.81698520357425,134.76620576425057,245.76821657491487,277.82909146139775,299.28483998879085,8.0,301.55080637823704,-0.2495048047330336,-0.7305846738195263,1.8316127361488497,27.163945808206797,20.473223553215718,19.17708923968561,563.4794520547945,487.3244444466655,3.537468020613913,1.732238531156396,0.34353780563606584,0.14676962387982467,73.0,161273993.734933,4.5264582533983424e-07
train,2,9,185.9341998610827,195.28012765924063,340.0096373797684,20.953682664197668,68.77940576686288,137.50971871865636,237.10234004206444,267.00579359945783,302.83756759337456,8.0,300.41199603026746,-0.13336758436638874,-0.5188387390625513,1.8286557160210455,26.459412654119205,23.115874855871443,17.36359070148066,583.8157894736842,562.3366657208429,3.464834331131676,2.1066691310101398,0.3655229343521628,0.1573471266339063,76.0,164650210.56177253,4.615845903913178e-07
train,2,10,179.5407578332113,188.17894352058352,332.0054292129442,26.06780037724066,71.64377074426677,131.11724139631343,232.95221264201567,263.70474572412945,285.336281450768,8.0,292.1253513354326,-0.23512592825755854,-0.7198338946751139,1.8491925355543426,26.95586675121637,22.246369947307258,17.583557488036508,559.7692307692307,449.6532263600741,3.5792373657367498,2.1162307434024537,0.36341562143627476,0.17678657497659997,78.0,153293650.43945816,5.088273374428208e-07
train,2,11,183.30805310196203,191.27197054106136,328.7039523150697,25.14490431452155,69.2114362293226,145.7287247204867,225.9958515624297,259.066718979125,294.27929198599145,9.0,296.4826989341262,-0.30164509994496425,-0.2438389793847322,1.7931779141870743,25.26791081803637,22.540495000503324,13.410121295166201,551.5555555555555,491.7952571955122,3.750861179605691,1.9252656780787845,0.3272564059267102,0.13730306854870156,81.0,148765897.75373763,5.444796235094474e-07
